longitude,latitude,toll_name,geo_state
76.6148449,23.6572301,Chapra Toll Plaza,Madhya Pradesh
84.4909603,26.0266733,Chapraitha Toll Plaza,Bihar
74.671501,27.3497893,Chapri Toll Plaza,Rajasthan
84.7482679,26.731191,Chapwa Toll Plaza,Bihar
72.94198051,19.89112788,Charoti Toll Plaza,Maharashtra
77.6375499,10.4805967,Chatrapatti Toll Plaza,Tamil Nadu
76.4466417,15.9087375,Chattar Toll Plaza,Karnataka
75.6043331,28.9974934,Chaudhariwas Toll Plaza,Haryana
82.4169955,26.7813982,Chaukadi Toll Plaza,Uttar Pradesh
75.5904587,30.8245437,Chaukiman Toll Plaza,Punjab
74.519298,29.7879682,Chautala Toll Plaza,Haryana
75.9086944,24.7594444,Chechat Toll Plaza,Rajasthan
79.401055,12.910836,Chennasamaduram Toll Plaza,Tamil Nadu
77.6205846,28.7021006,Chhajarsi Toll Plaza,Uttar Pradesh
77.3644317,28.0990717,Chhajju Nagar Toll Plaza,Haryana
77.7778834,29.5863609,Chhapar Toll Plaza,Uttar Pradesh
83.404606,27.4033059,Chhapwa Toll Plaza,Uttar Pradesh
76.7249379,28.7125732,Chhara Toll Plaza,Haryana
71.8271,24.674,Chhoti Villor Toll Plaza,Rajasthan
82.9424053,21.2997706,Chhuhipali Toll Plaza,Chhattisgarh
74.6923881,31.6172919,Chiddan Toll Plaza,Punjab
78.433626,21.842211,Chikhalikala Toll Plaza,Madhya Pradesh
75.12653868,23.23114081,Chikliya Toll Plaza,Madhya Pradesh
77.5154422,26.6129885,Chilla Chond Toll Plaza,Rajasthan
80.160654,16.885015,Chillakallu Toll Plaza,Andhra Pradesh
80.2377078,15.698071,Chinaganjam Toll Plaza,Andhra Pradesh
74.5263213,16.4136232,Chinchani Toll Plaza,Karnataka
80.2389319,13.2532411,Chinnamullaivoyal Toll Plaza,Tamil Nadu
79.5894634,13.7881724,Chinthalapalem Toll Plaza,Andhra Pradesh
78.1359766,9.8775731,Chinthamani Toll Plaza,Tamil Nadu
79.9805323,17.4713042,Chinthapally Toll Plaza,Telangana
79.2802191,26.1610923,Chiriya Km 201 Toll Plaza,Uttar Pradesh
77.5803601,17.0798821,Chitlapalli Toll Plaza,Telangana
78.8087413,23.7259166,Chitora Toll Plaza,Madhya Pradesh
80.7445993,25.2514687,Chitrakoot/Bharatkup Km 04 Toll Plaza,Uttar Pradesh
78.2446554,9.9895943,Chittampatti Toll Plaza,Tamil Nadu
78.338756,14.8118405,Chittimitti Chinthala Toll Plaza,Andhra Pradesh
78.4892333,26.3315641,Chittora Toll Plaza,Madhya Pradesh
75.2508571,22.9323231,Chokala Toll Plaza,Madhya Pradesh
77.1620066,13.3020161,Chokkenahalli Toll Plaza,Karnataka
77.576451,13.811786,Cholasamundram Toll Plaza,Andhra Pradesh
75.64049077,31.62397615,Chollang Toll Plaza,Punjab
78.007587,26.4666278,Chonda Toll Plaza,Madhya Pradesh
81.346763,24.5479744,Choratha Toll Plaza,Madhya Pradesh
76.624,21.1621,Chorwad Check Post Toll Plaza,Maharashtra
72.9542229,21.3030748,Choryasi Toll Plaza,Gujarat
77.875996,29.11587,Chota Mawana Toll Plaza,Uttar Pradesh
82.4799789,22.7662305,Chotiya Toll Plaza,Chhattisgarh
75.7859167,29.829229,Chottian User Toll Plaza,Punjab
77.9802319,26.4884208,Chounda Morena Flyover Toll Plaza,Madhya Pradesh
78.0094659,26.4682131,Choundha Toll Plaza,Madhya Pradesh
77.6495778,24.0498785,Chourakheri Toll Plaza,Madhya Pradesh
77.5016407,12.8841583,Clever Leaf (P4) Toll Plaza,Karnataka
83.4340993,21.8172038,Cnaal Toll Plaza,Chhattisgarh
76.1019812,12.4428502,Coorgal Toll Plaza,Karnataka
79.5155972,14.6853379,D C Palli Toll Plaza,Andhra Pradesh
72.8480977,22.413246,Dabhasi Toll Plaza,Gujarat
73.8714245,24.6492225,Dabok Toll Plaza,Rajasthan
74.7512062,29.9402019,Dabwali Toll Plaza,Haryana
76.304827,28.606077,Dadri Toll Plaza,Haryana
74.8364916,22.7428792,Dattigaon Toll Plaza,Madhya Pradesh
82.99406372,25.24836215,Daffi Toll Plaza,Uttar Pradesh
78.4789044,25.6161077,Dagrai Toll Plaza,Madhya Pradesh
90.7130877,26.4768992,Dahalapara Toll Plaza,Assam
76.9181647,29.3198014,Dahar Toll Plaza,Haryana
72.8717564,19.2586529,Dahisar Toll Plaza,Maharashtra
73.7205278,24.5017918,Dakan Kotra Toll Plaza,Rajasthan
81.0661525,26.5245409,Dakhina Shekpur Toll Plaza,Uttar Pradesh
79.4239467,25.8647363,Dakore Km 164 Toll Plaza,Uttar Pradesh
70.9303314,23.9782,Dalawada Toll Plaza,Gujarat
84.0606505,25.5806703,Dalsagar Toll Plaza,Bihar
78.5153734,13.0369241,Danamaiahgaaripalli Toll Plaza,Andhra Pradesh
75.0723545,22.4247601,Dangdiya Toll Plaza,Madhya Pradesh
73.231858,26.266826,Dangiyawas Toll Plaza,Rajasthan
88.288859,22.6988382,Dankuni Toll Plaza,West Bengal
76.0857853,16.1542714,Dannur Toll Plaza,Karnataka
74.9772849,30.8401266,Darapur Toll Plaza,Punjab
70.3344417,20.9613223,Dari Toll Plaza,Gujarat
84.8929311,21.9314164,Darjing Toll Plaza,Odisha
78.7554802,20.4498359,Daroada Toll Plaza,Maharashtra
77.535962,28.6875785,Dasana Toll Plaza,Uttar Pradesh
76.1796363,20.9727189,Dasarkhed Toll Plaza,Maharashtra
77.4954441,28.6750252,Dasna Dme Km 2760 Toll Plaza,Uttar Pradesh
76.202461,20.826084,Datala Toll Plaza,Maharashtra
78.701949,25.716217,Datia-Bhander Toll Plaza,Madhya Pradesh
76.53033092,25.88392589,Daulatpura Toll Plaza,Rajasthan
75.8344465,27.0868395,Daulatpura Toll Plaza,Rajasthan
80.7881245,16.4125264,Davaluri Toll Plaza,Andhra Pradesh
87.522859,22.396884,Debra Toll Plaza,West Bengal
77.3523,18.3222,Degloor Check Post Toll Plaza,Karnataka
73.6921487,18.7002516,Dehuroad Nh48 Toll Plaza,Maharashtra
92.0476424,25.6488705,Deingpasoh Toll Plaza,Meghalaya
74.9967785,23.4174318,Delanpur Toll Plaza,Madhya Pradesh
72.5872969,26.3067119,Deogarh Toll Plaza,Rajasthan
80.263055,21.43425,Deori Border Checkpost Toll Plaza,Maharashtra
79.4757035,28.9307481,Deoriya Toll Plaza,Uttarakhand
69.4716572,23.1960264,Deshalpar Toll Plaza,Gujarat
73.360601,27.753685,Deshnok Toll Plaza,Rajasthan
77.6472356,13.1936004,Devanahalli Toll Plaza,Karnataka
76.2508754,16.4174999,Devarahulabagal Toll Plaza,Karnataka
79.8169355,24.7824402,Devgaon Toll Plaza,Madhya Pradesh
77.7701938,24.5156009,Devkhedi Toll Plaza,Madhya Pradesh
76.0471971,22.929143,Dewas By Pass Toll Plaza,Madhya Pradesh
75.0682504,28.3458569,Dhadhar Toll Plaza,Rajasthan
78.1406983,20.7375232,Dhamangaon Toll Plaza,Maharashtra
75.5132989,22.2162677,Dhamnod Toll Plaza,Madhya Pradesh
75.5984567,25.0725406,Dhaneshwar Toll Plaza,Rajasthan
82.42257697,21.22692386,Dhank Toll Plaza,Chhattisgarh
69.684741,22.2488499,Dharampur Danta Toll Plaza,Gujarat
76.7593854,30.5929393,Dharer Azizpur Toll Plaza,Punjab
76.4995253,30.3912006,Dhareri Jattan Toll Plaza,Punjab
77.787632,18.2658952,Dharmaram Toll Plaza,Telangana
74.4110436,19.1560991,Dhoki Toll Plaza,Maharashtra
75.2083733,28.6678315,Dholiya Toll Plaza,Rajasthan
74.5196873,25.5329542,Dhulepura Toll Plaza,Rajasthan
70.3267031,21.7513616,Dhumiyani Toll Plaza,Gujarat
77.13994,20.01351,Dhumka Tondgaon Toll Plaza,Maharashtra
85.2404881,25.572391,Didarganj Toll Plaza,Bihar
76.62119594,28.77747583,Dighal Toll Plaza,Haryana
